Region,City,Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),CO (mg/m3),SO2 (ug/m3),O3 (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Xylene (ug/m3),AQI,AQI_Bucket,Wind_Speed (km/h),Humidity (%),Deforestation_Rate_%,Industry_Growth_%,CO2_Emission_MT,Population_Density_per_SqKm
Addis Ababa (City),Addis Ababa,2014-11-01,70.2,138.79,49.09,88.52,117.09,10.34,3.98,24.33,46.29,1.7,14.58,2.84,159.0,Unhealthy,8.9,40.8,0.072,4.51,7.99,6502.7
Addis Ababa (City),Addis Ababa,2014-12-01,100.66,210.54,79.65,69.67,87.68,20.55,2.15,31.63,61.84,7.56,17.34,6.36,174.0,Unhealthy,8.5,46.5,0.035,4.51,8.05,6485.9
Addis Ababa (City),Addis Ababa,2015-01-01,59.23,238.53,59.79,64.32,85.95,23.91,3.2,18.86,88.15,,15.63,5.55,153.0,Unhealthy,3.7,44.6,0.012,5.55,7.93,6652.9
Addis Ababa (City),Addis Ababa,2015-02-01,64.57,161.45,40.44,107.42,62.2,22.01,6.5,47.04,76.43,8.12,9.92,8.15,156.0,Unhealthy,15.6,47.8,0.074,5.14,8.21,6651.3
Addis Ababa (City),Addis Ababa,2015-03-01,94.76,246.33,,112.0,80.38,12.13,4.23,29.88,78.47,2.58,18.42,6.82,171.0,Unhealthy,17.1,40.4,0.0,3.89,8.2,6666.3
Addis Ababa (City),Addis Ababa,2015-04-01,139.94,85.84,45.36,62.61,78.49,15.25,1.9,22.06,40.79,3.55,20.8,5.16,195.0,Unhealthy,6.2,54.3,0.07,4.15,8.17,6658.7
Addis Ababa (City),Addis Ababa,2015-05-01,108.83,200.41,62.25,44.13,54.17,17.05,3.38,18.91,65.27,4.43,9.03,8.4,179.0,Unhealthy,12.5,60.5,0.0,4.56,7.82,6655.9
Addis Ababa (City),Addis Ababa,2015-06-01,46.27,69.86,50.59,73.95,48.03,6.14,,28.62,54.06,1.89,13.89,3.57,128.0,Unhealthy for Sensitive Groups,10.0,66.0,0.019,4.94,8.28,6654.4
Addis Ababa (City),Addis Ababa,2015-07-01,27.28,58.44,22.2,33.83,45.84,8.95,2.81,,49.55,0.92,13.69,5.41,83.0,Moderate,8.9,75.7,0.0,4.35,8.28,6673.1
Addis Ababa (City),Addis Ababa,2015-08-01,47.1,72.83,26.66,34.58,56.76,10.14,2.96,8.94,29.76,1.98,5.64,3.62,130.0,Unhealthy for Sensitive Groups,7.6,76.3,0.0,5.27,8.05,6654.2
Addis Ababa (City),Addis Ababa,2015-09-01,67.44,95.5,36.05,45.0,40.12,15.3,1.44,18.49,48.93,2.83,9.56,5.6,157.0,Unhealthy,8.6,77.7,0.018,5.0,7.71,6671.5
Addis Ababa (City),Addis Ababa,2015-10-01,73.39,109.5,71.12,62.61,45.55,15.36,4.18,33.16,37.78,2.41,17.59,6.96,160.0,Unhealthy,5.3,55.4,0.078,3.81,8.07,6680.5
Addis Ababa (City),Addis Ababa,2015-11-01,139.82,216.83,,79.71,93.52,11.52,2.28,29.23,78.65,7.15,5.29,4.11,195.0,Unhealthy,7.0,47.9,0.047,4.67,8.25,6667.4
Addis Ababa (City),Addis Ababa,2015-12-01,47.34,136.09,43.89,78.11,99.05,11.51,4.0,39.5,52.61,5.03,9.82,8.81,130.0,Unhealthy for Sensitive Groups,9.9,39.5,0.058,3.36,7.94,6652.9
Addis Ababa (City),Addis Ababa,2016-01-01,128.46,241.94,36.57,48.25,102.45,14.19,2.8,46.89,91.43,4.92,19.46,,189.0,Unhealthy,9.8,55.9,0.011,6.28,8.32,6832.1
Addis Ababa (City),Addis Ababa,2016-02-01,117.58,133.0,92.78,80.21,,21.62,4.47,43.87,50.74,7.7,17.18,8.71,183.0,Unhealthy,7.7,37.8,0.031,5.29,8.49,6820.0
Addis Ababa (City),Addis Ababa,2016-03-01,142.78,244.99,57.85,106.82,125.28,25.12,4.64,,108.59,3.05,29.28,3.74,196.0,Unhealthy,11.0,37.2,0.012,4.32,8.69,6804.9
Addis Ababa (City),Addis Ababa,2016-04-01,71.54,110.33,64.92,95.67,,7.32,5.55,31.07,55.27,3.55,19.75,8.01,159.0,Unhealthy,13.6,50.1,0.0,4.39,8.25,6841.0
Addis Ababa (City),Addis Ababa,2016-05-01,79.48,109.33,76.77,91.01,74.13,11.42,4.45,31.55,81.23,2.08,11.03,6.06,163.0,Unhealthy,3.4,54.4,0.021,5.1,8.37,6837.9
Addis Ababa (City),Addis Ababa,2016-06-01,82.19,77.89,47.57,37.79,83.05,14.86,3.57,23.57,27.01,2.01,10.2,3.67,165.0,Unhealthy,15.9,63.9,0.0,3.33,8.19,6814.2
Addis Ababa (City),Addis Ababa,2016-07-01,33.17,64.61,26.43,29.46,52.3,11.24,2.77,14.17,,,3.27,3.44,95.0,Moderate,7.9,75.4,0.008,4.03,8.29,6823.0
Addis Ababa (City),Addis Ababa,2016-08-01,27.04,69.86,29.16,45.02,35.27,11.52,1.63,20.45,46.93,0.75,9.3,1.06,82.0,Moderate,5.0,92.6,0.0,5.12,8.37,6832.1
Addis Ababa (City),Addis Ababa,2016-09-01,37.97,76.57,39.4,,62.55,6.61,1.87,16.8,40.58,1.35,9.61,5.0,107.0,Unhealthy for Sensitive Groups,14.5,77.6,0.01,7.16,8.21,6840.5
Addis Ababa (City),Addis Ababa,2016-10-01,68.76,,53.9,37.83,61.28,17.61,3.62,,40.74,2.59,5.35,5.4,158.0,Unhealthy,3.5,62.7,0.014,4.15,8.23,6840.6
Addis Ababa (City),Addis Ababa,2016-11-01,46.2,177.37,77.81,75.84,65.37,11.05,5.34,36.07,69.39,3.21,10.69,6.65,127.0,Unhealthy for Sensitive Groups,8.9,51.1,0.0,6.04,8.25,6825.4
Addis Ababa (City),Addis Ababa,2016-12-01,130.04,155.33,71.51,64.61,101.58,10.83,2.14,,74.57,5.97,7.86,2.64,189.0,Unhealthy,7.5,47.1,0.0,3.91,8.2,6815.2
Addis Ababa (City),Addis Ababa,2017-01-01,79.18,102.46,35.75,79.46,135.66,25.26,2.5,37.11,63.12,2.93,11.93,1.89,163.0,Unhealthy,9.9,33.8,0.0,5.47,8.74,6986.3
Addis Ababa (City),Addis Ababa,2017-02-01,152.89,118.93,77.5,113.13,88.4,28.0,5.89,28.5,,6.34,24.08,8.09,203.0,Very Unhealthy,7.5,30.3,0.02,4.82,8.51,7016.6
Addis Ababa (City),Addis Ababa,2017-03-01,126.73,235.8,70.18,79.05,,21.38,4.4,43.22,109.76,,14.74,4.62,188.0,Unhealthy,13.6,37.4,0.01,4.3,8.6,6992.1
Addis Ababa (City),Addis Ababa,2017-04-01,60.96,218.04,77.32,73.29,98.98,26.11,6.39,20.87,87.24,5.61,26.94,7.16,154.0,Unhealthy,12.1,42.5,0.0,3.94,8.91,6987.7
Addis Ababa (City),Addis Ababa,2017-05-01,72.32,208.61,52.53,86.74,82.54,7.4,2.58,28.56,58.89,5.16,8.06,6.08,160.0,Unhealthy,5.7,49.4,0.056,5.63,8.15,6978.7
Addis Ababa (City),Addis Ababa,2017-06-01,33.65,156.61,34.27,49.9,54.68,5.94,1.88,16.51,54.94,4.75,12.2,5.13,96.0,Moderate,11.7,65.3,0.011,3.01,8.76,6987.0
Addis Ababa (City),Addis Ababa,2017-07-01,70.52,88.21,13.09,39.98,57.57,7.37,2.44,17.55,26.33,0.81,,2.4,159.0,Unhealthy,4.2,92.6,0.008,6.29,8.41,6993.8
Addis Ababa (City),Addis Ababa,2017-08-01,69.6,95.14,26.64,48.6,53.87,5.56,2.25,13.79,20.52,2.95,4.19,1.02,158.0,Unhealthy,6.6,78.8,0.01,5.28,8.57,6988.0
Addis Ababa (City),Addis Ababa,2017-09-01,39.79,111.55,,25.35,50.82,6.07,1.37,8.09,31.36,1.62,9.54,1.22,112.0,Unhealthy for Sensitive Groups,10.4,84.2,0.0,3.93,8.57,7005.3
Addis Ababa (City),Addis Ababa,2017-10-01,128.8,148.31,38.66,80.34,91.17,8.61,2.42,28.76,50.89,4.99,12.24,1.66,189.0,Unhealthy,7.9,60.5,0.0,6.08,8.63,6989.9
Addis Ababa (City),Addis Ababa,2017-11-01,62.24,143.56,77.08,60.0,,20.74,3.28,32.78,96.02,1.27,14.82,2.8,154.0,Unhealthy,7.0,48.0,0.072,3.05,8.37,6996.7
Addis Ababa (City),Addis Ababa,2017-12-01,159.44,146.91,73.73,55.31,108.12,22.75,6.12,22.91,73.19,5.18,6.36,9.51,210.0,Very Unhealthy,6.1,32.3,0.101,5.43,8.49,6988.3
Addis Ababa (City),Addis Ababa,2018-01-01,102.21,183.83,76.68,104.17,92.3,18.39,6.48,39.73,75.31,6.79,20.09,7.45,175.0,Unhealthy,3.7,43.9,0.037,4.09,8.65,7151.6
Addis Ababa (City),Addis Ababa,2018-02-01,134.23,239.41,63.19,76.06,137.76,18.61,6.07,49.28,48.12,4.05,26.18,9.82,192.0,Unhealthy,6.3,41.3,0.078,4.57,8.39,7117.0
Addis Ababa (City),Addis Ababa,2018-03-01,110.1,173.51,96.39,120.0,77.93,11.21,4.89,23.77,114.96,5.48,13.16,6.64,179.0,Unhealthy,14.6,41.0,0.072,5.11,8.6,7146.0
Addis Ababa (City),Addis Ababa,2018-04-01,55.8,116.67,67.66,91.17,89.04,7.92,6.52,41.79,68.9,1.6,11.12,3.59,151.0,Unhealthy,10.6,43.3,0.0,4.26,8.45,7155.9
Addis Ababa (City),Addis Ababa,2018-05-01,130.42,186.21,66.61,72.95,119.33,15.66,2.7,25.34,42.94,3.29,21.69,4.11,190.0,Unhealthy,9.3,49.9,0.009,4.14,8.8,7166.3
Addis Ababa (City),Addis Ababa,2018-06-01,88.02,149.99,56.95,28.47,73.0,12.6,3.53,20.91,39.39,2.33,13.5,5.51,168.0,Unhealthy,10.0,64.8,0.012,4.81,8.86,7164.5
Addis Ababa (City),Addis Ababa,2018-07-01,43.83,80.24,22.35,31.5,50.82,10.66,3.27,,32.59,,13.32,1.6,122.0,Unhealthy for Sensitive Groups,14.2,88.1,0.0,3.94,8.92,7143.5
Addis Ababa (City),Addis Ababa,2018-08-01,62.8,83.19,31.2,38.21,49.43,12.53,2.44,,53.81,1.19,5.72,5.36,155.0,Unhealthy,4.3,81.0,0.0,4.54,8.52,7139.1
Addis Ababa (City),Addis Ababa,2018-09-01,77.57,67.03,34.96,61.08,42.4,9.34,1.78,19.71,46.24,1.02,,4.79,162.0,Unhealthy,5.6,63.6,0.0,5.45,8.64,7141.6
Addis Ababa (City),Addis Ababa,2018-10-01,80.3,128.76,62.79,79.93,82.87,21.82,,20.85,47.61,2.58,16.47,7.23,164.0,Unhealthy,2.4,61.5,0.043,2.55,8.69,7141.0
Addis Ababa (City),Addis Ababa,2018-11-01,100.77,106.12,46.41,77.96,81.4,5.59,3.99,27.62,38.49,4.05,20.54,1.52,174.0,Unhealthy,11.3,49.9,0.128,4.71,8.86,7134.4
Addis Ababa (City),Addis Ababa,2018-12-01,81.36,206.98,79.57,42.52,81.36,7.18,2.43,17.04,89.07,6.0,12.25,3.96,164.0,Unhealthy,4.7,37.4,0.0,5.74,8.55,7158.3
Addis Ababa (City),Addis Ababa,2019-01-01,68.82,149.17,74.41,86.1,84.4,15.71,6.77,47.04,82.66,3.21,20.89,1.34,158.0,Unhealthy,10.5,53.9,0.0,6.8,8.54,7315.0
Addis Ababa (City),Addis Ababa,2019-02-01,60.18,228.21,91.32,74.22,79.42,10.15,7.4,17.27,76.28,6.17,25.96,5.32,153.0,Unhealthy,10.1,49.2,0.061,4.33,8.89,7270.9
Addis Ababa (City),Addis Ababa,2019-03-01,68.16,128.92,78.72,72.54,138.89,19.09,5.86,15.61,77.77,1.63,11.36,8.62,158.0,Unhealthy,5.3,42.2,0.0,4.57,8.94,7310.7
Addis Ababa (City),Addis Ababa,2019-04-01,121.43,192.28,38.89,61.71,102.47,9.27,6.56,16.14,47.35,1.48,23.69,1.39,185.0,Unhealthy,10.8,45.3,0.0,2.68,9.22,7302.5
Addis Ababa (City),Addis Ababa,2019-05-01,43.28,176.87,43.96,59.59,116.97,17.79,2.76,18.18,49.86,6.13,21.48,3.17,120.0,Unhealthy for Sensitive Groups,11.0,51.7,0.082,5.15,8.9,7322.6
Addis Ababa (City),Addis Ababa,2019-06-01,81.0,123.91,25.8,27.92,74.78,15.07,2.71,11.49,30.08,,10.74,6.0,164.0,Unhealthy,8.3,65.0,0.003,4.14,8.88,7330.0
Addis Ababa (City),Addis Ababa,2019-07-01,54.89,92.79,,50.7,59.88,7.98,1.93,10.63,48.1,,8.39,2.13,149.0,Unhealthy for Sensitive Groups,9.6,88.7,0.04,4.82,8.52,7285.2
Addis Ababa (City),Addis Ababa,2019-08-01,43.94,82.01,33.89,37.6,65.38,4.55,1.25,19.09,20.68,0.68,5.73,2.78,122.0,Unhealthy for Sensitive Groups,6.6,94.2,0.056,4.66,8.48,7310.6
Addis Ababa (City),Addis Ababa,2019-09-01,43.12,81.78,52.05,,,4.5,2.86,23.41,47.54,2.16,10.45,6.25,120.0,Unhealthy for Sensitive Groups,1.4,72.1,0.0,5.17,8.84,7311.2
Addis Ababa (City),Addis Ababa,2019-10-01,94.75,149.75,,64.61,44.52,15.56,3.62,23.24,30.36,2.71,12.97,6.31,171.0,Unhealthy,11.1,65.3,0.001,5.35,8.62,7330.3
Addis Ababa (City),Addis Ababa,2019-11-01,125.49,108.25,72.08,41.71,72.72,6.9,5.25,21.14,70.7,5.91,20.63,7.96,187.0,Unhealthy,5.3,46.2,0.0,4.73,8.61,7325.0
Addis Ababa (City),Addis Ababa,2019-12-01,54.4,104.09,52.51,73.21,70.3,11.15,4.17,,61.94,2.15,18.41,4.53,148.0,Unhealthy for Sensitive Groups,2.0,53.8,0.014,4.31,8.74,7324.7
Addis Ababa (City),Addis Ababa,2020-01-01,136.98,224.25,69.25,60.3,,10.71,,32.4,90.06,7.49,6.04,1.81,193.0,Unhealthy,5.8,36.9,0.0,4.29,9.08,7451.1
Addis Ababa (City),Addis Ababa,2020-02-01,177.59,173.35,81.37,105.24,168.39,12.93,5.23,33.06,96.5,5.75,29.36,7.86,228.0,Very Unhealthy,11.1,42.9,0.018,4.49,8.82,7490.6
Addis Ababa (City),Addis Ababa,2020-03-01,178.09,141.69,112.63,74.13,77.44,20.04,6.59,48.98,118.25,7.27,15.28,6.36,228.0,Very Unhealthy,10.3,51.9,0.042,1.6,8.87,7478.7
Addis Ababa (City),Addis Ababa,2020-04-01,84.48,85.32,35.27,77.62,99.57,11.05,3.31,30.19,33.09,5.33,9.88,5.82,166.0,Unhealthy,8.6,41.7,0.0,4.31,8.89,7480.9
Addis Ababa (City),Addis Ababa,2020-05-01,74.65,152.91,,63.1,,6.35,3.21,14.44,47.66,1.81,14.55,5.23,161.0,Unhealthy,9.8,47.8,0.0,4.75,8.88,7489.3
Addis Ababa (City),Addis Ababa,2020-06-01,74.13,79.07,47.35,56.01,41.15,10.81,2.56,13.32,61.15,3.65,12.22,1.23,161.0,Unhealthy,15.3,64.1,0.0,3.86,8.95,7478.7
Addis Ababa (City),Addis Ababa,2020-07-01,51.0,120.46,25.13,26.59,40.88,5.2,1.32,15.19,25.2,0.78,6.97,,139.0,Unhealthy for Sensitive Groups,10.5,79.0,0.035,6.26,8.98,7453.7
Addis Ababa (City),Addis Ababa,2020-08-01,31.18,134.3,37.54,45.61,64.36,9.49,3.36,9.09,29.56,1.49,2.49,5.12,91.0,Moderate,12.9,86.2,0.0,2.94,8.84,7450.5
Addis Ababa (City),Addis Ababa,2020-09-01,83.62,117.72,37.81,63.51,78.98,13.42,3.81,10.29,58.84,3.5,3.66,4.94,166.0,Unhealthy,7.0,64.9,0.0,3.65,9.04,7491.8
Addis Ababa (City),Addis Ababa,2020-10-01,73.64,168.27,27.7,47.0,44.91,15.37,4.19,25.28,70.66,3.47,15.69,1.0,160.0,Unhealthy,4.1,64.6,0.046,4.26,9.1,7468.8
Addis Ababa (City),Addis Ababa,2020-11-01,46.64,111.91,37.49,51.6,66.42,,5.35,34.17,89.62,1.95,9.28,9.54,128.0,Unhealthy for Sensitive Groups,12.7,41.4,0.0,2.4,8.91,7468.4
Addis Ababa (City),Addis Ababa,2020-12-01,123.08,226.43,60.95,97.39,109.23,11.17,1.46,39.83,56.25,5.49,9.29,7.23,186.0,Unhealthy,10.9,37.9,0.0,6.09,9.18,7466.6
Addis Ababa (City),Addis Ababa,2021-01-01,121.02,117.45,79.94,52.43,101.33,18.38,4.65,23.26,72.51,3.53,22.39,3.27,185.0,Unhealthy,6.6,42.1,0.037,5.52,8.89,7629.8
Addis Ababa (City),Addis Ababa,2021-02-01,143.03,249.44,89.58,120.0,,29.92,5.02,16.84,89.42,5.36,25.13,9.36,196.0,Unhealthy,13.0,48.0,0.0,3.2,9.32,7640.8
Addis Ababa (City),Addis Ababa,2021-03-01,143.49,127.54,70.68,83.9,,17.34,5.3,27.5,84.74,4.47,23.07,4.43,196.0,Unhealthy,9.9,54.3,0.005,4.63,9.19,7659.6
Addis Ababa (City),Addis Ababa,2021-04-01,67.91,235.82,63.94,,92.45,10.52,6.6,45.73,101.38,7.85,17.08,7.47,157.0,Unhealthy,6.0,54.5,0.0,3.86,8.89,7654.3
Addis Ababa (City),Addis Ababa,2021-05-01,76.37,154.77,38.7,98.55,77.67,11.12,2.97,36.77,52.34,6.44,14.13,5.34,162.0,Unhealthy,11.8,64.3,0.0,4.15,8.75,7640.9
Addis Ababa (City),Addis Ababa,2021-06-01,71.99,116.88,38.63,37.42,42.05,14.47,2.94,19.21,37.1,3.84,3.5,5.57,160.0,Unhealthy,13.0,62.1,0.024,5.12,8.96,7654.8
Addis Ababa (City),Addis Ababa,2021-07-01,59.29,85.9,18.85,36.86,59.51,8.71,2.11,15.36,40.06,1.16,11.98,2.36,153.0,Unhealthy,8.4,92.5,0.088,1.89,9.14,7631.8
Addis Ababa (City),Addis Ababa,2021-08-01,36.08,69.9,11.82,38.29,28.46,8.49,0.74,18.11,22.27,1.61,4.54,4.01,102.0,Unhealthy for Sensitive Groups,15.5,88.4,0.0,4.16,9.18,7643.4
Addis Ababa (City),Addis Ababa,2021-09-01,49.92,144.46,41.82,41.61,51.38,8.67,1.76,9.19,36.74,4.03,6.64,4.7,137.0,Unhealthy for Sensitive Groups,12.8,80.6,0.017,2.6,9.34,7642.2
Addis Ababa (City),Addis Ababa,2021-10-01,,112.44,68.11,70.33,58.62,16.9,4.2,14.62,48.5,4.91,16.36,2.75,,,8.0,52.8,0.03,6.51,9.24,7669.5
Addis Ababa (City),Addis Ababa,2021-11-01,104.43,127.24,57.45,94.39,129.7,12.55,2.14,,102.55,3.23,6.7,7.62,176.0,Unhealthy,5.2,41.4,0.0,6.48,9.12,7627.4
Addis Ababa (City),Addis Ababa,2021-12-01,62.75,192.77,64.98,58.26,46.04,12.73,5.66,,69.37,4.02,16.53,8.72,155.0,Unhealthy,3.0,41.3,0.072,4.06,9.06,7636.7
Addis Ababa (City),Addis Ababa,2022-01-01,136.23,297.96,44.07,105.21,123.68,30.19,7.58,20.39,43.68,4.98,30.3,7.79,193.0,Unhealthy,7.3,44.7,0.03,4.58,9.33,7791.1
Addis Ababa (City),Addis Ababa,2022-02-01,131.51,153.4,96.19,119.11,,7.84,4.94,29.92,58.67,3.94,5.54,10.85,190.0,Unhealthy,6.2,48.3,0.0,5.18,9.36,7777.0
Addis Ababa (City),Addis Ababa,2022-03-01,61.27,197.19,104.51,111.62,107.66,12.7,4.04,26.92,128.41,8.9,9.89,6.0,154.0,Unhealthy,5.6,51.6,0.0,4.05,9.25,7813.6
Addis Ababa (City),Addis Ababa,2022-04-01,73.01,223.45,99.04,93.34,112.02,11.81,3.38,47.95,60.63,4.73,7.81,1.82,160.0,Unhealthy,10.6,48.8,0.018,5.31,9.42,7805.3
Addis Ababa (City),Addis Ababa,2022-05-01,89.2,222.26,72.38,89.08,,12.52,5.37,21.97,54.81,2.58,23.28,7.05,168.0,Unhealthy,6.9,58.8,0.018,5.75,9.26,7815.6
Addis Ababa (City),Addis Ababa,2022-06-01,108.5,117.95,65.63,36.05,84.04,13.09,2.39,17.86,39.62,3.46,7.48,6.36,178.0,Unhealthy,11.7,72.0,0.0,3.97,9.27,7786.1
Addis Ababa (City),Addis Ababa,2022-07-01,28.2,124.2,32.38,34.7,32.15,7.97,2.89,18.85,37.28,2.85,4.88,2.79,85.0,Moderate,17.9,81.9,0.0,4.01,9.44,7786.5
Addis Ababa (City),Addis Ababa,2022-08-01,52.18,115.39,36.49,24.34,40.25,7.5,1.38,7.86,34.73,1.05,10.67,4.85,142.0,Unhealthy for Sensitive Groups,16.1,92.8,0.069,5.03,9.0,7799.5
Addis Ababa (City),Addis Ababa,2022-09-01,29.75,72.16,41.47,32.97,67.83,2.57,1.25,15.9,35.88,0.81,6.7,,88.0,Moderate,7.0,68.0,0.0,5.01,9.44,7800.6
Addis Ababa (City),Addis Ababa,2022-10-01,51.77,145.01,35.45,69.96,101.44,18.56,4.74,23.61,39.01,2.54,18.44,7.84,141.0,Unhealthy for Sensitive Groups,5.7,63.6,0.057,3.32,9.18,7798.4
Addis Ababa (City),Addis Ababa,2022-11-01,144.8,,61.55,73.63,110.08,12.7,4.37,32.67,57.68,1.99,16.46,4.66,197.0,Unhealthy,6.2,47.0,0.0,2.52,9.56,7811.6
Addis Ababa (City),Addis Ababa,2022-12-01,148.87,229.04,58.27,60.94,133.21,17.41,4.64,17.73,,,23.13,6.96,199.0,Unhealthy,8.9,50.8,0.0,6.05,9.17,7800.2
Addis Ababa (City),Addis Ababa,2023-01-01,102.12,116.86,54.84,68.14,140.13,28.11,6.1,24.47,82.73,6.11,,4.42,175.0,Unhealthy,11.3,53.6,0.0,3.04,9.52,7945.9
Addis Ababa (City),Addis Ababa,2023-02-01,148.47,155.13,78.5,78.44,163.22,21.95,5.84,25.19,97.07,5.38,20.22,4.88,199.0,Unhealthy,11.6,45.3,0.055,3.23,9.37,7949.0
Addis Ababa (City),Addis Ababa,2023-03-01,74.67,132.71,70.99,120.0,143.59,17.02,3.67,26.33,107.39,9.02,9.96,10.88,161.0,Unhealthy,14.6,36.8,0.041,3.77,9.8,7961.7
Addis Ababa (City),Addis Ababa,2023-04-01,73.08,200.89,83.03,88.26,127.49,30.43,3.56,28.86,82.52,6.33,28.91,3.73,160.0,Unhealthy,5.5,51.5,0.0,4.07,9.51,7928.7
Addis Ababa (City),Addis Ababa,2023-05-01,136.82,90.74,76.76,73.7,95.19,21.74,5.74,23.27,56.23,4.42,13.82,2.79,193.0,Unhealthy,4.6,58.4,0.0,4.91,9.17,7968.6
Addis Ababa (City),Addis Ababa,2023-06-01,45.03,98.77,41.73,37.26,54.02,,2.33,10.23,53.76,3.46,14.02,1.23,124.0,Unhealthy for Sensitive Groups,12.8,69.3,0.0,6.05,9.47,7963.1
Addis Ababa (City),Addis Ababa,2023-07-01,74.99,94.5,29.89,28.99,68.0,10.47,1.85,7.91,,3.78,6.13,1.35,161.0,Unhealthy,8.2,94.4,0.0,4.45,9.62,7959.0
Addis Ababa (City),Addis Ababa,2023-08-01,30.29,114.52,25.85,44.92,69.53,,2.25,9.41,31.11,2.41,3.27,3.77,89.0,Moderate,13.0,90.8,0.0,4.85,9.25,7994.4
Addis Ababa (City),Addis Ababa,2023-09-01,38.79,134.08,46.09,57.45,31.72,9.48,2.02,15.75,52.09,2.77,10.95,2.14,109.0,Unhealthy for Sensitive Groups,13.0,81.7,0.0,4.54,9.37,7970.4
Addis Ababa (City),Addis Ababa,2023-10-01,80.6,206.08,62.54,76.44,58.02,9.19,2.84,26.92,63.34,3.06,11.16,2.41,164.0,Unhealthy,7.0,51.9,0.0,2.85,9.42,7976.5
Addis Ababa (City),Addis Ababa,2023-11-01,45.29,126.24,72.0,94.92,116.34,11.64,4.91,20.94,61.54,5.29,11.1,3.49,125.0,Unhealthy for Sensitive Groups,11.6,53.0,0.0,4.91,9.68,7958.8
Addis Ababa (City),Addis Ababa,2023-12-01,,156.74,,96.5,59.61,13.86,4.95,31.26,60.98,1.71,23.32,7.76,,,5.8,49.3,0.043,6.56,9.4,7956.4
Addis Ababa (City),Addis Ababa,2024-01-01,53.51,108.97,67.98,,114.77,13.6,5.28,40.08,74.27,6.34,22.97,9.59,145.0,Unhealthy for Sensitive Groups,3.1,51.0,0.012,3.37,9.35,8118.5
Addis Ababa (City),Addis Ababa,2024-02-01,93.83,191.21,87.61,75.62,140.91,22.52,,31.11,116.71,1.74,17.4,12.26,171.0,Unhealthy,4.0,36.3,0.077,4.59,9.47,8115.4
Addis Ababa (City),Addis Ababa,2024-03-01,139.27,157.8,102.4,120.0,175.17,10.48,7.89,30.37,119.48,7.47,16.44,2.45,194.0,Unhealthy,9.0,39.4,0.011,5.68,9.68,8120.5
Addis Ababa (City),Addis Ababa,2024-04-01,110.76,150.8,44.3,78.57,101.01,28.35,3.55,25.57,101.42,2.65,12.9,4.99,180.0,Unhealthy,11.5,45.1,0.001,4.14,9.72,8138.7
