Province,City,Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),CO (mg/m3),SO2 (ug/m3),O3 (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Xylene (ug/m3),AQI,AQI_Bucket,Wind_Speed (km/h),Humidity (%),Deforestation_Rate_%,Industry_Growth_%,CO2_Emission_MT,Population_Density_per_SqKm
Anhui,Anqing,2015-01-01,93.66,183.55,32.79,41.49,40.24,12.12,1.89,18.68,21.51,4.85,8.3,1.85,123,Lightly Polluted,7.6,63.5,0.264,7.27,132.03,441.4
Anhui,Anqing,2015-02-01,103.49,95.96,8.86,38.55,44.96,20.96,2.32,30.84,53.07,1.76,14.1,3.14,136,Lightly Polluted,12.3,49.1,0.496,6.35,135.96,440.9
Anhui,Anqing,2015-03-01,39.84,85.65,17.93,31.98,21.19,13.91,1.43,10.52,16.92,3.14,8.87,1.99,56,Good,9.4,40.5,0.205,6.95,135.33,443.7
Anhui,Anqing,2015-04-01,30.8,142.65,23.21,26.27,43.72,18.46,0.6,6.3,24.74,3.68,5.16,0.66,44,Excellent,4.4,41.3,0.329,6.6,130.7,441.9
Anhui,Anqing,2015-05-01,56.49,74.17,3.52,20.96,17.05,13.01,1.02,15.34,39.87,1.76,2.6,0.89,77,Good,14.8,69.2,0.318,5.88,135.82,443.4
Anhui,Anqing,2015-06-01,58.32,70.85,17.58,19.78,28.74,12.72,0.88,9.35,20.22,1.59,2.46,1.18,79,Good,7.1,72.0,0.525,6.03,131.61,443.4
Anhui,Anqing,2015-07-01,44.91,106.71,13.24,12.46,9.67,8.86,1.07,6.17,12.87,1.06,5.28,0.83,62,Good,6.9,85.3,0.432,5.57,132.02,441.7
Anhui,Anqing,2015-08-01,28.07,74.73,19.77,16.13,24.44,8.28,1.11,3.44,15.42,1.24,5.14,1.2,40,Excellent,6.4,70.3,0.573,6.67,134.54,441.9
Anhui,Anqing,2015-09-01,46.02,79.21,24.37,11.16,28.24,10.55,0.84,20.0,20.19,1.96,2.02,0.71,64,Good,6.5,78.4,0.508,6.43,131.12,442.9
Anhui,Anqing,2015-10-01,81.43,98.95,24.86,23.67,39.23,13.29,1.72,11.18,48.27,3.51,9.35,1.81,108,Lightly Polluted,9.8,65.3,0.36,6.51,132.05,444.2
Anhui,Anqing,2015-11-01,106.61,182.0,36.17,45.33,51.5,13.59,2.67,12.05,51.28,2.66,6.28,1.0,139,Lightly Polluted,4.9,56.6,0.312,6.38,134.72,441.9
Anhui,Anqing,2015-12-01,92.6,184.45,22.29,24.69,25.18,24.92,1.79,39.82,61.46,5.52,4.06,3.54,122,Lightly Polluted,4.2,58.9,0.382,6.12,131.41,440.8
Anhui,Anqing,2016-01-01,61.85,222.7,25.86,21.0,30.98,15.37,1.67,46.53,25.86,1.72,9.43,3.95,83,Good,9.8,57.6,0.373,6.55,134.47,443.6
Anhui,Anqing,2016-02-01,79.04,144.99,40.23,34.57,33.11,20.91,2.64,44.37,34.72,1.92,6.32,1.3,105,Lightly Polluted,4.8,54.2,0.341,7.01,133.46,444.6
Anhui,Anqing,2016-03-01,80.7,91.57,20.92,23.3,39.72,14.43,1.37,21.97,40.65,4.0,4.9,2.11,107,Lightly Polluted,9.4,57.3,0.26,6.29,133.42,442.9
Anhui,Anqing,2016-04-01,63.37,108.12,22.2,14.51,34.82,4.93,1.88,17.73,25.18,3.69,4.87,0.88,85,Good,11.4,57.0,0.421,6.4,134.13,445.6
Anhui,Anqing,2016-05-01,27.48,47.81,17.12,15.46,13.64,8.45,1.37,10.27,27.34,3.55,3.88,0.14,39,Excellent,10.9,61.0,0.403,7.8,130.68,445.1
Anhui,Anqing,2016-06-01,29.7,63.25,8.97,17.23,5.86,13.02,1.23,12.77,31.75,1.4,6.06,0.68,42,Excellent,7.0,53.3,0.298,7.55,134.07,443.5
Anhui,Anqing,2016-07-01,27.93,47.62,5.15,15.64,18.24,12.35,0.89,9.45,29.11,2.23,5.91,1.38,40,Excellent,9.9,73.1,0.311,7.19,137.85,445.7
Anhui,Anqing,2016-08-01,55.58,72.93,13.74,20.44,11.5,14.33,0.67,19.3,25.36,1.6,6.63,0.56,76,Good,4.3,89.3,0.422,7.26,136.29,442.7
Anhui,Anqing,2016-09-01,43.86,55.7,7.71,16.84,28.67,16.19,0.92,19.29,13.97,1.08,2.88,1.97,61,Good,12.0,56.9,0.525,6.7,137.81,442.8
Anhui,Anqing,2016-10-01,43.0,65.69,6.08,38.14,14.56,25.51,0.66,14.0,35.09,3.35,5.6,0.25,60,Good,6.9,48.5,0.452,6.15,132.19,443.7
Anhui,Anqing,2016-11-01,86.55,145.08,34.35,27.85,51.0,25.86,1.18,14.36,32.18,4.36,7.98,3.7,114,Lightly Polluted,11.8,64.4,0.479,6.95,137.4,445.4
Anhui,Anqing,2016-12-01,89.56,243.22,44.15,62.95,39.35,25.08,0.94,42.66,68.7,3.49,5.67,4.29,118,Lightly Polluted,7.8,58.6,0.49,5.45,140.28,446.5
Anhui,Anqing,2017-01-01,85.67,93.41,41.47,52.22,26.59,23.39,0.85,17.21,63.88,4.62,11.18,1.91,113,Lightly Polluted,7.1,48.7,0.265,6.68,134.59,447.6
Anhui,Anqing,2017-02-01,73.17,185.11,35.62,39.13,28.69,9.79,2.9,15.95,19.0,4.91,4.18,2.16,98,Good,10.2,46.5,0.267,6.53,139.27,444.9
Anhui,Anqing,2017-03-01,60.5,152.18,16.38,19.76,26.09,13.11,0.92,22.48,47.29,2.75,6.27,2.45,82,Good,8.7,64.8,0.275,6.38,137.77,446.4
Anhui,Anqing,2017-04-01,65.67,120.01,20.4,8.61,34.46,12.6,0.77,16.08,27.28,1.82,8.99,2.2,88,Good,11.7,60.6,0.498,6.29,134.45,447.7
Anhui,Anqing,2017-05-01,70.9,84.73,21.69,28.0,25.79,17.87,1.6,11.17,31.24,1.98,4.13,2.08,95,Good,15.0,58.9,0.43,5.65,132.82,445.3
Anhui,Anqing,2017-06-01,28.66,93.71,9.6,20.13,14.66,9.53,1.18,11.91,33.99,2.4,7.05,1.48,41,Excellent,7.6,67.1,0.419,6.69,136.27,446.3
Anhui,Anqing,2017-07-01,45.89,83.03,13.79,11.26,14.5,14.55,0.57,15.43,26.75,2.57,5.01,1.15,63,Good,11.6,73.3,0.303,6.86,133.47,445.4
Anhui,Anqing,2017-08-01,21.49,106.38,9.48,15.17,25.9,12.1,0.97,9.32,16.23,1.3,6.31,1.59,31,Excellent,7.4,75.9,0.269,7.09,139.14,446.4
Anhui,Anqing,2017-09-01,65.63,110.31,17.2,26.67,26.55,7.24,0.96,19.28,33.98,2.62,4.17,0.89,88,Good,7.4,79.4,0.333,6.46,135.75,443.5
Anhui,Anqing,2017-10-01,45.75,152.03,14.49,14.31,27.79,15.59,1.33,11.89,19.75,2.69,8.81,2.17,63,Good,4.6,46.6,0.376,6.61,137.3,448.4
Anhui,Anqing,2017-11-01,119.2,176.39,13.64,20.78,34.51,12.68,2.38,25.14,35.58,4.84,11.1,3.07,156,Moderately Polluted,9.1,65.4,0.432,7.34,137.79,445.8
Anhui,Anqing,2017-12-01,125.26,264.33,25.26,29.86,30.55,34.82,1.12,27.71,44.67,2.75,11.24,1.19,164,Moderately Polluted,6.7,56.6,0.323,6.05,136.64,445.2
Anhui,Anqing,2018-01-01,98.01,256.4,14.92,59.27,63.41,17.44,1.54,25.61,36.52,4.01,4.38,3.11,129,Lightly Polluted,6.5,50.8,0.416,6.45,139.97,446.0
Anhui,Anqing,2018-02-01,63.61,168.31,28.0,31.96,46.78,30.68,2.12,26.93,51.48,3.49,5.21,1.08,86,Good,11.1,45.4,0.403,6.68,141.18,449.2
Anhui,Anqing,2018-03-01,52.74,152.64,20.57,13.77,34.78,12.34,1.12,16.7,13.16,0.87,4.2,1.99,72,Good,11.1,62.9,0.318,7.06,140.11,449.1
Anhui,Anqing,2018-04-01,55.7,96.08,11.29,10.33,26.3,6.59,1.2,17.27,22.53,2.97,2.24,1.21,76,Good,12.5,56.7,0.443,5.67,139.46,447.2
Anhui,Anqing,2018-05-01,44.88,58.45,19.02,29.91,11.38,9.24,1.21,11.62,22.98,3.18,8.19,0.2,62,Good,12.2,55.0,0.406,7.56,144.65,449.8
Anhui,Anqing,2018-06-01,41.56,86.37,11.88,26.52,9.31,7.56,1.07,7.91,17.15,1.51,6.76,1.94,58,Good,11.4,80.0,0.326,6.7,137.24,449.7
Anhui,Anqing,2018-07-01,41.99,73.96,14.93,14.91,22.26,8.96,0.34,10.91,19.49,1.02,3.27,0.6,59,Good,12.5,70.0,0.289,6.51,138.48,446.3
Anhui,Anqing,2018-08-01,20.27,90.68,12.32,20.7,19.54,17.07,1.09,10.6,7.91,2.14,6.46,0.62,29,Excellent,6.9,77.5,0.465,6.93,136.84,447.6
Anhui,Anqing,2018-09-01,34.88,41.35,11.07,19.28,21.13,11.85,1.36,21.59,11.25,1.62,5.73,1.94,50,Excellent,5.5,64.5,0.375,6.38,140.58,449.4
Anhui,Anqing,2018-10-01,61.06,89.63,15.64,31.76,7.33,17.27,1.01,14.01,17.03,1.6,9.08,1.36,82,Good,5.3,66.9,0.428,6.8,136.98,449.3
Anhui,Anqing,2018-11-01,97.47,70.9,21.13,27.09,24.48,23.83,1.63,17.57,47.06,1.81,3.88,1.71,128,Lightly Polluted,8.7,44.3,0.372,7.1,134.93,449.2
Anhui,Anqing,2018-12-01,61.83,235.78,20.25,27.63,22.98,20.57,1.96,34.2,24.58,3.73,8.12,2.88,83,Good,7.5,48.0,0.404,6.21,142.78,447.7
Anhui,Anqing,2019-01-01,49.65,138.64,11.63,56.68,24.33,11.06,2.37,32.98,39.25,2.31,12.84,2.23,68,Good,9.4,51.4,0.299,7.11,142.25,449.5
Anhui,Anqing,2019-02-01,111.03,116.01,27.97,31.08,16.17,17.88,1.61,36.86,24.01,2.28,5.08,3.89,145,Lightly Polluted,6.0,58.1,0.268,6.67,144.14,448.8
Anhui,Anqing,2019-03-01,62.42,100.42,13.98,31.23,39.3,6.78,0.77,13.39,29.5,2.37,9.68,1.26,84,Good,9.5,60.6,0.348,6.81,141.02,450.6
Anhui,Anqing,2019-04-01,49.82,50.11,12.33,24.24,26.69,7.28,0.53,14.68,12.31,1.73,5.51,1.7,68,Good,13.2,64.8,0.343,7.1,138.13,449.9
Anhui,Anqing,2019-05-01,52.92,92.72,3.89,18.56,26.12,19.92,1.43,15.45,21.75,2.52,3.47,1.73,72,Good,6.6,48.5,0.436,6.67,141.24,450.7
Anhui,Anqing,2019-06-01,34.75,97.6,18.12,24.18,21.67,5.17,1.42,9.53,34.72,1.28,2.86,0.43,50,Excellent,8.7,70.5,0.458,6.41,144.89,450.3
Anhui,Anqing,2019-07-01,35.49,43.21,13.03,17.23,17.6,3.15,1.42,9.85,12.58,1.84,6.11,0.05,50,Excellent,12.0,79.9,0.182,6.31,142.47,450.8
Anhui,Anqing,2019-08-01,21.52,65.01,2.36,17.6,15.0,13.33,0.31,10.39,19.27,1.93,2.28,1.26,31,Excellent,9.5,87.7,0.464,6.46,143.02,450.1
Anhui,Anqing,2019-09-01,42.41,72.08,7.01,16.95,19.79,9.37,1.05,10.5,35.17,1.63,2.29,0.76,59,Good,11.7,68.6,0.329,6.28,142.0,453.0
Anhui,Anqing,2019-10-01,62.47,113.08,13.43,8.8,27.25,11.98,0.69,19.97,34.49,2.49,8.62,1.99,84,Good,5.0,47.8,0.333,6.7,144.99,452.9
Anhui,Anqing,2019-11-01,77.24,100.28,19.46,34.06,36.89,29.85,2.54,21.06,27.5,2.55,5.96,3.13,103,Lightly Polluted,4.4,60.2,0.207,7.2,139.32,452.1
Anhui,Anqing,2019-12-01,81.37,92.16,22.03,26.27,24.26,14.69,0.96,39.59,62.67,4.93,9.33,1.42,108,Lightly Polluted,5.9,48.2,0.303,7.38,135.79,452.1
Anhui,Anqing,2020-01-01,66.07,171.26,24.76,25.14,27.81,12.28,1.1,6.87,38.85,1.58,8.6,0.59,89,Good,5.6,51.9,0.41,6.62,145.46,454.2
Anhui,Anqing,2020-02-01,24.22,33.52,8.86,11.57,15.26,4.56,0.53,3.32,9.05,1.11,1.04,0.54,35,Excellent,4.9,37.4,0.297,6.45,145.46,451.7
Anhui,Anqing,2020-03-01,31.28,20.85,1.29,6.93,18.07,10.74,0.26,6.4,11.76,1.36,2.86,0.69,45,Excellent,12.0,61.7,0.229,6.84,144.65,453.9
Anhui,Anqing,2020-04-01,20.31,30.31,9.13,17.25,6.82,10.98,0.41,4.54,22.72,1.17,1.65,1.3,29,Excellent,12.6,51.5,0.339,6.11,145.28,449.8
Anhui,Anqing,2020-05-01,30.75,72.55,9.3,9.85,11.75,11.55,1.42,9.16,30.95,1.9,1.44,1.49,44,Excellent,9.6,55.8,0.394,6.1,144.27,453.2
Anhui,Anqing,2020-06-01,48.58,46.64,18.16,29.26,25.98,10.19,0.46,12.72,32.19,0.86,6.97,1.18,67,Good,9.5,85.3,0.319,6.8,143.34,454.8
Anhui,Anqing,2020-07-01,33.11,70.18,14.84,17.62,6.65,9.26,1.31,3.27,31.15,1.35,2.34,0.58,47,Excellent,6.3,81.0,0.341,7.51,148.22,449.3
Anhui,Anqing,2020-08-01,31.48,59.34,5.16,24.25,11.24,11.11,0.55,10.13,14.53,1.55,3.99,0.59,45,Excellent,11.5,65.8,0.379,8.18,141.2,453.6
Anhui,Anqing,2020-09-01,19.27,47.83,15.17,21.03,9.65,14.97,0.64,18.45,13.99,2.39,6.42,1.44,28,Excellent,7.7,61.6,0.436,6.83,142.33,454.1
Anhui,Anqing,2020-10-01,29.49,71.95,27.18,20.92,19.58,9.31,1.45,9.45,19.88,0.77,5.14,0.43,42,Excellent,6.1,53.5,0.367,6.95,143.07,453.1
Anhui,Anqing,2020-11-01,91.35,122.47,12.35,39.35,14.01,28.68,1.85,31.78,27.68,1.71,10.3,1.29,120,Lightly Polluted,8.7,42.0,0.488,6.96,144.08,452.7
Anhui,Anqing,2020-12-01,89.55,209.42,25.41,47.57,23.73,25.58,2.61,28.51,42.28,2.72,6.62,2.91,118,Lightly Polluted,5.1,43.7,0.269,7.76,143.4,453.7
Anhui,Anqing,2021-01-01,112.39,95.26,38.87,49.18,47.53,29.7,1.99,19.13,50.64,2.45,7.83,2.36,147,Lightly Polluted,8.2,46.0,0.247,6.8,149.13,455.6
Anhui,Anqing,2021-02-01,61.16,160.6,15.08,43.42,25.42,22.4,1.63,23.31,50.66,0.9,10.13,2.31,83,Good,6.6,49.0,0.204,6.73,144.07,456.7
Anhui,Anqing,2021-03-01,53.62,157.19,27.61,18.91,44.94,18.61,1.29,17.25,34.32,3.12,9.36,1.81,73,Good,7.6,43.9,0.264,7.49,148.48,454.7
Anhui,Anqing,2021-04-01,40.03,132.27,16.59,24.76,31.22,20.06,1.2,8.69,21.27,2.05,1.89,0.75,56,Good,13.9,47.6,0.283,7.13,148.55,454.8
Anhui,Anqing,2021-05-01,43.91,62.76,21.35,33.45,34.84,10.77,1.65,19.47,26.56,1.77,3.31,1.6,61,Good,9.3,76.0,0.136,6.82,143.55,454.5
Anhui,Anqing,2021-06-01,55.41,65.47,0.33,10.28,15.36,16.0,0.43,20.46,11.12,2.36,4.75,1.67,75,Good,4.2,64.9,0.139,6.46,145.06,454.7
Anhui,Anqing,2021-07-01,29.81,48.49,5.64,13.58,16.91,3.3,1.02,9.81,21.9,0.95,2.62,0.29,43,Excellent,10.3,69.3,0.26,6.43,145.01,455.4
Anhui,Anqing,2021-08-01,27.41,43.95,10.13,13.23,14.48,5.06,1.17,10.22,17.4,1.25,2.87,1.51,39,Excellent,6.2,82.1,0.216,5.75,147.49,453.8
Anhui,Anqing,2021-09-01,30.26,89.57,11.56,17.91,4.34,9.9,0.94,4.11,31.71,0.91,7.03,0.38,43,Excellent,7.5,70.7,0.382,6.92,145.37,456.0
Anhui,Anqing,2021-10-01,52.68,96.53,20.39,8.49,34.0,18.26,0.69,7.94,27.56,1.28,6.07,1.04,72,Good,7.7,55.6,0.39,7.12,144.84,457.8
Anhui,Anqing,2021-11-01,73.63,172.29,31.42,27.85,40.81,17.83,1.04,20.61,41.06,4.45,9.7,2.51,98,Good,5.7,60.2,0.346,6.09,147.4,453.9
Anhui,Anqing,2021-12-01,68.31,175.1,24.54,39.97,56.55,18.09,2.96,14.6,63.61,4.47,5.86,2.08,92,Good,6.3,33.3,0.262,6.46,148.24,454.9
Anhui,Anqing,2022-01-01,42.23,172.1,38.41,51.03,24.48,21.04,2.88,28.13,55.67,2.44,4.4,3.86,59,Good,8.1,51.3,0.225,6.36,145.1,456.2
Anhui,Anqing,2022-02-01,95.47,149.61,35.29,18.3,45.86,25.63,2.75,23.45,44.02,4.13,4.19,0.74,125,Lightly Polluted,7.4,33.6,0.342,6.41,149.05,460.2
Anhui,Anqing,2022-03-01,31.7,115.32,22.73,28.3,20.15,5.83,1.9,25.45,21.6,3.33,2.98,1.65,45,Excellent,14.0,37.6,0.214,6.96,148.61,457.6
Anhui,Anqing,2022-04-01,74.16,115.62,16.74,21.42,25.28,4.35,0.99,10.05,27.66,2.03,3.28,1.89,99,Good,12.8,40.5,0.332,7.86,148.83,456.9
Anhui,Anqing,2022-05-01,48.85,82.09,14.92,17.21,21.87,9.02,0.76,13.84,31.78,1.45,7.79,1.54,67,Good,7.8,73.4,0.239,7.44,147.35,457.7
Anhui,Anqing,2022-06-01,35.97,40.86,16.64,11.5,16.73,7.02,1.38,4.82,28.78,0.11,3.99,0.88,51,Good,7.9,70.3,0.359,6.84,145.34,459.5
Anhui,Anqing,2022-07-01,34.13,59.9,8.85,19.88,17.23,12.01,1.02,6.63,16.97,0.82,2.03,0.91,49,Excellent,6.1,84.4,0.267,7.2,148.38,457.5
Anhui,Anqing,2022-08-01,37.06,86.18,3.28,23.44,16.45,12.74,0.41,11.48,24.24,1.55,2.59,0.63,52,Good,11.7,84.7,0.214,6.87,149.33,458.6
Anhui,Anqing,2022-09-01,28.39,87.29,13.52,24.2,13.52,6.7,0.47,16.12,21.11,1.02,4.75,1.53,41,Excellent,11.5,71.0,0.124,7.1,150.25,454.0
Anhui,Anqing,2022-10-01,48.09,96.18,8.07,8.88,12.31,11.64,1.39,8.5,35.27,2.08,8.25,1.95,66,Good,9.3,53.1,0.314,6.05,146.66,458.3
Anhui,Anqing,2022-11-01,47.09,162.39,11.48,18.19,46.57,11.0,2.36,11.71,51.03,3.13,2.78,2.66,65,Good,5.6,42.0,0.272,7.3,149.83,454.9
Anhui,Anqing,2022-12-01,129.04,120.98,42.45,28.27,32.18,31.66,1.04,32.62,38.37,4.67,11.66,2.76,170,Moderately Polluted,9.7,62.2,0.228,6.37,148.44,457.6
Anhui,Anqing,2023-01-01,75.36,109.39,14.26,31.35,47.14,16.51,2.8,11.03,39.87,2.17,14.38,1.83,100,Good,7.4,55.6,0.246,7.59,148.51,458.9
Anhui,Anqing,2023-02-01,85.06,134.45,25.04,29.28,33.06,7.9,1.79,15.89,47.39,3.2,7.38,3.05,112,Lightly Polluted,10.9,59.0,0.441,6.81,148.97,458.8
Anhui,Anqing,2023-03-01,34.61,131.27,9.5,31.1,31.9,20.31,0.62,14.44,31.68,2.1,4.96,1.15,49,Excellent,10.3,42.4,0.166,7.2,153.32,460.3
Anhui,Anqing,2023-04-01,48.8,142.92,9.32,27.57,35.83,14.29,1.22,11.64,19.38,2.03,4.93,0.69,67,Good,11.1,63.0,0.405,7.53,149.95,457.8
Anhui,Anqing,2023-05-01,67.54,129.17,5.22,14.91,26.0,12.96,1.03,12.13,26.33,1.79,0.99,0.56,91,Good,5.9,73.2,0.202,7.03,153.19,462.1
Anhui,Anqing,2023-06-01,22.41,35.82,6.01,23.32,21.0,7.74,0.88,14.64,33.2,1.9,3.97,1.5,32,Excellent,10.2,85.4,0.179,7.04,149.05,459.8
Anhui,Anqing,2023-07-01,35.1,81.2,13.35,11.11,15.93,4.57,1.31,11.17,14.84,1.36,1.72,1.12,50,Excellent,12.0,88.5,0.164,6.65,154.83,461.5
Anhui,Anqing,2023-08-01,28.96,79.58,5.79,11.1,19.73,8.03,0.89,4.5,13.02,2.01,4.84,0.75,41,Excellent,5.9,68.2,0.242,7.71,149.12,461.0
Anhui,Anqing,2023-09-01,45.39,73.71,11.34,18.29,7.38,11.56,1.12,6.5,35.16,2.6,5.24,1.31,63,Good,7.5,66.8,0.306,6.88,150.66,457.4
Anhui,Anqing,2023-10-01,55.96,65.34,14.68,34.94,25.03,19.12,1.16,20.17,33.91,2.77,3.76,0.81,76,Good,10.4,51.3,0.262,6.46,151.05,460.2
Anhui,Anqing,2023-11-01,60.31,141.7,8.29,26.93,38.66,18.02,2.2,9.26,18.91,0.81,7.89,1.55,82,Good,5.5,55.4,0.34,7.24,151.72,463.5
Anhui,Anqing,2023-12-01,58.88,220.3,10.5,45.39,21.33,11.05,2.49,11.81,57.93,4.34,6.37,3.31,80,Good,4.9,37.3,0.276,6.36,151.75,458.3
Anhui,Anqing,2024-01-01,102.09,129.37,7.74,30.04,57.53,26.47,2.24,29.39,59.22,4.81,5.22,2.43,134,Lightly Polluted,6.5,52.6,0.22,6.96,153.76,460.9
Anhui,Anqing,2024-02-01,104.55,68.51,25.87,38.44,22.39,13.05,2.59,13.9,24.1,5.51,7.08,2.5,137,Lightly Polluted,4.5,47.4,0.145,7.13,153.31,462.5
Anhui,Anqing,2024-03-01,33.51,79.13,15.04,26.05,13.45,21.16,1.58,16.85,26.12,2.33,7.27,0.6,48,Excellent,14.0,58.0,0.309,6.91,153.34,460.9
Anhui,Anqing,2024-04-01,36.24,49.72,6.43,19.91,27.63,12.36,0.61,5.79,24.42,1.55,6.23,1.86,51,Good,11.9,59.6,0.327,6.87,156.62,461.6
Anhui,Anqing,2024-05-01,52.71,128.64,14.59,11.71,16.71,12.01,0.47,17.22,34.03,2.41,7.19,1.19,72,Good,12.9,60.9,0.343,7.75,154.55,462.4
Anhui,Anqing,2024-06-01,42.17,85.52,8.64,8.13,4.17,8.37,0.64,5.75,25.58,0.94,0.87,0.59,59,Good,6.1,67.5,0.201,7.7,150.62,461.3
Anhui,Anqing,2024-07-01,39.44,61.07,5.91,9.49,19.3,8.85,0.82,6.31,12.02,0.64,5.34,1.58,55,Good,12.3,73.6,0.231,6.47,154.67,461.2
Anhui,Anqing,2024-08-01,22.33,38.57,5.73,11.43,15.32,9.43,0.84,4.45,17.96,1.7,1.65,1.8,32,Excellent,8.6,83.0,0.225,7.5,149.36,461.7
Anhui,Anqing,2024-09-01,24.57,106.21,9.38,12.87,23.83,11.7,0.74,10.46,18.81,1.45,5.72,0.57,35,Excellent,7.1,63.3,0.182,6.88,154.04,463.8
Anhui,Anqing,2024-10-01,61.12,144.49,11.07,17.41,25.37,18.49,0.47,18.1,15.53,1.52,8.35,0.88,83,Good,8.9,55.2,0.306,6.94,154.61,462.6
Anhui,Anqing,2024-11-01,98.65,64.35,7.72,15.83,34.74,12.19,1.96,11.31,24.13,4.39,8.89,2.84,129,Lightly Polluted,4.3,52.8,0.148,7.06,152.49,463.9
Anhui,Anqing,2024-12-01,97.4,168.97,16.78,33.43,27.14,15.56,1.68,32.55,23.62,3.37,3.15,2.09,128,Lightly Polluted,7.1,54.8,0.351,6.99,151.51,461.7
Anhui,Anqing,2025-01-01,59.35,150.37,16.2,55.92,29.67,19.66,2.2,27.98,26.22,5.0,4.54,2.39,80,Good,8.3,62.2,0.187,7.29,157.31,464.3
Anhui,Anqing,2025-02-01,103.73,156.08,31.55,37.17,23.42,25.3,0.67,18.0,31.78,3.06,5.69,1.65,136,Lightly Polluted,7.0,53.5,0.188,6.91,160.87,464.6
Anhui,Anqing,2025-03-01,48.23,94.18,10.59,17.57,22.57,15.9,1.93,9.63,34.09,2.19,4.42,2.6,66,Good,5.6,63.5,0.237,7.26,156.71,463.4
Anhui,Anqing,2025-04-01,60.66,99.93,12.44,25.22,10.86,15.04,1.53,7.43,35.93,1.27,2.43,1.55,82,Good,14.9,68.9,0.148,6.28,156.65,464.5
Anhui,Anqing,2025-05-01,49.85,64.85,0.44,16.15,21.15,8.99,1.59,16.45,30.66,2.82,5.7,0.97,68,Good,8.2,61.5,0.124,6.84,156.28,464.3
Anhui,Anqing,2025-06-01,27.93,40.87,9.34,21.97,21.19,13.61,0.66,8.78,27.45,1.23,1.19,0.69,40,Excellent,6.5,74.1,0.216,6.79,155.96,465.7
Anhui,Anqing,2025-07-01,14.94,46.73,11.35,16.18,8.73,11.62,0.45,11.07,29.34,1.07,4.4,0.99,21,Excellent,5.2,83.2,0.313,6.67,157.76,462.4
Anhui,Anqing,2025-08-01,23.32,65.54,7.68,11.9,15.24,9.19,0.74,10.19,18.6,1.91,4.8,0.69,33,Excellent,12.9,96.5,0.211,7.17,155.73,463.8
Anhui,Anqing,2025-09-01,38.22,84.12,2.69,13.84,10.43,11.97,1.14,18.11,27.89,0.75,6.24,1.16,54,Good,9.3,67.8,0.255,7.71,155.31,464.2
