Division,City,Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),CO (mg/m3),SO2 (ug/m3),O3 (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Xylene (ug/m3),AQI,AQI_Bucket,Wind_Speed (km/h),Humidity (%),Deforestation_Rate_%,Industry_Growth_%,CO2_Emission_MT,Population_Density_per_SqKm
Barishal,Amtali,2018-09-01,28.75,40.47,11.07,6.83,9.35,6.12,0.4,5.31,24.1,1.08,2.72,0.45,86,Moderate,11.6,91.2,0.071,3.26,7.03,788.0
Barishal,Amtali,2018-10-01,42.36,61.71,6.66,14.45,6.34,6.72,0.96,3.96,30.77,1.52,2.8,1.19,118,Unhealthy for Sensitive Groups,6.1,77.9,0.102,0.98,7.23,788.2
Barishal,Amtali,2018-11-01,50.17,67.13,9.36,35.04,48.76,12.62,1.48,6.84,30.44,2.56,4.06,1.41,137,Unhealthy for Sensitive Groups,6.1,68.2,0.106,1.96,7.37,787.6
Barishal,Amtali,2018-12-01,58.0,73.19,22.85,32.84,26.91,15.35,1.39,15.08,82.61,3.3,7.86,0.93,152,Unhealthy,4.5,67.6,0.072,1.82,7.1,789.2
Barishal,Amtali,2019-01-01,46.1,182.89,30.12,41.92,33.37,12.33,2.09,17.15,87.28,0.71,7.48,2.8,127,Unhealthy for Sensitive Groups,5.2,55.2,0.092,2.93,7.39,797.5
Barishal,Amtali,2019-02-01,37.21,163.22,16.67,39.99,21.6,15.82,2.18,9.47,53.99,1.77,8.72,1.15,105,Unhealthy for Sensitive Groups,0.5,61.3,0.106,3.51,7.4,798.7
Barishal,Amtali,2019-03-01,82.1,106.32,20.73,29.43,34.85,7.35,1.51,10.42,53.6,3.12,6.24,0.54,165,Unhealthy,6.3,62.9,0.098,1.06,7.6,797.5
Barishal,Amtali,2019-04-01,28.54,105.83,12.65,22.56,28.26,8.62,0.73,7.04,26.87,0.9,2.26,1.78,86,Moderate,1.5,69.4,0.094,1.24,7.57,795.2
Barishal,Amtali,2019-05-01,38.32,98.31,17.95,17.65,17.73,9.7,0.95,9.68,37.78,1.27,2.3,0.09,108,Unhealthy for Sensitive Groups,12.4,68.0,0.073,1.36,7.54,797.4
Barishal,Amtali,2019-06-01,26.66,63.13,5.64,16.59,24.1,7.87,0.52,4.42,18.14,1.11,2.64,0.84,82,Moderate,13.5,87.6,0.112,1.93,7.48,793.8
Barishal,Amtali,2019-07-01,19.19,49.86,4.02,13.44,16.33,5.09,0.38,5.29,33.84,0.95,0.91,0.31,66,Moderate,13.6,83.9,0.006,-1.1,7.45,794.9
Barishal,Amtali,2019-08-01,11.83,59.64,5.34,13.53,13.61,2.81,0.59,5.39,15.19,0.54,2.53,0.6,49,Good,14.3,87.7,0.11,3.07,7.58,793.4
Barishal,Amtali,2019-09-01,11.75,32.97,12.52,11.79,6.31,5.37,0.14,5.36,26.78,0.52,3.65,0.59,49,Good,12.8,88.6,0.089,2.29,7.48,797.4
Barishal,Amtali,2019-10-01,18.93,54.67,16.36,12.81,10.24,11.95,0.12,2.85,31.68,0.87,5.29,0.35,65,Moderate,4.8,71.8,0.146,3.39,7.37,793.8
Barishal,Amtali,2019-11-01,34.79,98.46,10.89,34.29,32.17,12.05,1.93,9.75,67.82,0.07,4.26,1.65,99,Moderate,4.3,64.7,0.114,1.82,7.49,798.5
Barishal,Amtali,2019-12-01,64.09,67.38,11.86,29.47,12.14,14.18,2.08,5.35,92.88,3.19,6.24,1.86,155,Unhealthy,3.8,71.6,0.097,2.85,7.27,792.7
Barishal,Amtali,2020-01-01,50.2,74.8,32.43,55.75,28.91,18.8,1.12,22.44,42.6,3.72,8.97,1.37,137,Unhealthy for Sensitive Groups,3.4,72.9,0.095,2.39,7.99,805.3
Barishal,Amtali,2020-02-01,63.79,86.68,22.47,15.07,17.9,18.55,1.36,20.31,66.26,2.78,1.75,1.75,155,Unhealthy,4.5,54.1,0.1,3.98,7.81,806.3
Barishal,Amtali,2020-03-01,49.82,79.26,11.15,12.84,17.1,8.83,1.22,12.27,30.45,2.25,3.77,1.62,136,Unhealthy for Sensitive Groups,3.9,56.5,0.09,2.04,7.86,805.1
Barishal,Amtali,2020-04-01,36.72,41.96,8.88,6.96,13.36,6.01,0.31,5.9,14.37,1.26,1.25,0.67,104,Unhealthy for Sensitive Groups,7.5,57.2,0.065,0.02,7.66,803.3
Barishal,Amtali,2020-05-01,36.56,24.39,8.4,12.55,14.63,1.77,0.39,3.37,21.3,0.31,1.97,0.67,104,Unhealthy for Sensitive Groups,14.4,75.5,0.097,0.39,7.74,805.7
Barishal,Amtali,2020-06-01,24.74,10.0,3.94,13.18,13.81,4.8,0.24,1.8,23.86,0.85,2.2,0.19,78,Moderate,12.5,80.5,0.172,3.13,7.79,804.6
Barishal,Amtali,2020-07-01,39.55,33.08,13.19,14.35,17.89,3.8,0.3,7.51,16.36,0.76,1.45,0.58,111,Unhealthy for Sensitive Groups,7.4,92.1,0.069,2.78,7.82,807.3
Barishal,Amtali,2020-08-01,11.22,38.19,14.91,2.75,14.3,3.3,0.71,4.47,17.34,0.82,2.24,0.69,47,Good,7.3,91.8,0.093,3.36,7.66,804.2
Barishal,Amtali,2020-09-01,5.0,66.48,10.55,8.2,16.24,4.28,0.39,3.14,33.86,0.34,1.61,1.14,21,Good,10.2,93.2,0.052,4.22,7.67,802.2
Barishal,Amtali,2020-10-01,36.47,50.21,4.47,12.07,31.96,4.21,0.87,4.1,26.66,0.92,4.48,1.31,103,Unhealthy for Sensitive Groups,4.8,78.3,0.057,3.7,7.88,801.1
Barishal,Amtali,2020-11-01,42.97,96.03,23.97,25.25,15.51,14.87,1.84,4.73,48.67,1.08,1.9,1.38,119,Unhealthy for Sensitive Groups,3.4,65.2,0.057,3.67,7.68,802.5
Barishal,Amtali,2020-12-01,63.16,142.08,19.09,41.58,57.15,9.12,1.04,18.05,75.72,2.07,1.85,2.47,155,Unhealthy,3.1,69.5,0.076,1.48,7.85,806.2
Barishal,Amtali,2021-01-01,40.13,98.68,15.07,20.13,19.16,7.01,1.78,16.13,41.9,1.28,8.66,0.34,112,Unhealthy for Sensitive Groups,3.9,66.5,0.084,0.91,8.1,815.8
Barishal,Amtali,2021-02-01,48.93,157.93,14.43,35.18,30.83,6.71,1.93,21.73,38.49,0.39,2.73,0.78,134,Unhealthy for Sensitive Groups,2.2,53.4,0.105,4.2,8.15,810.1
Barishal,Amtali,2021-03-01,35.41,65.66,6.63,12.34,27.5,6.41,1.45,16.73,34.28,1.16,6.63,1.12,101,Unhealthy for Sensitive Groups,4.6,63.7,0.089,0.86,7.89,811.3
Barishal,Amtali,2021-04-01,45.09,111.24,13.2,17.01,20.3,9.37,1.1,17.6,60.06,1.25,4.88,1.41,125,Unhealthy for Sensitive Groups,3.0,67.6,0.113,2.6,7.97,813.5
Barishal,Amtali,2021-05-01,55.43,78.26,16.95,19.76,32.15,10.42,0.74,8.99,40.03,1.06,2.94,0.63,151,Unhealthy,11.3,75.9,0.042,0.66,8.28,811.4
Barishal,Amtali,2021-06-01,23.38,60.94,3.97,23.23,8.92,3.27,0.3,2.77,33.27,0.39,1.42,0.51,75,Moderate,17.3,92.4,0.102,2.33,8.01,817.5
Barishal,Amtali,2021-07-01,23.78,39.47,8.89,8.71,7.62,3.72,0.34,2.42,22.23,0.37,0.96,0.91,76,Moderate,13.9,84.9,0.048,4.2,8.04,809.7
Barishal,Amtali,2021-08-01,6.26,59.97,9.75,11.85,2.0,7.77,0.57,0.72,23.73,0.56,1.4,0.06,26,Good,15.1,94.3,0.119,1.67,8.05,814.1
Barishal,Amtali,2021-09-01,29.82,81.62,11.3,11.4,6.7,8.15,0.25,5.83,12.95,0.32,3.03,0.79,88,Moderate,10.9,84.3,0.114,1.93,7.95,810.9
Barishal,Amtali,2021-10-01,25.23,87.7,12.46,14.81,21.94,8.71,0.46,9.67,38.08,0.38,1.66,1.16,79,Moderate,6.1,80.8,0.149,1.55,8.06,814.1
Barishal,Amtali,2021-11-01,78.35,104.78,5.49,13.78,33.18,9.82,1.19,15.16,33.32,1.92,4.7,0.96,163,Unhealthy,5.6,64.5,0.09,1.68,8.12,812.9
Barishal,Amtali,2021-12-01,44.96,198.44,20.12,15.89,24.25,14.89,2.29,22.09,81.76,1.42,8.28,1.46,124,Unhealthy for Sensitive Groups,5.8,74.7,0.103,1.34,8.08,810.0
Barishal,Amtali,2022-01-01,67.29,124.59,29.82,33.3,31.93,15.99,1.31,9.04,97.56,2.39,5.49,2.2,157,Unhealthy,7.4,47.7,0.116,1.17,8.33,821.3
Barishal,Amtali,2022-02-01,49.7,119.64,24.77,29.27,35.68,15.68,0.9,22.15,85.31,3.34,5.78,2.31,136,Unhealthy for Sensitive Groups,6.7,72.3,0.086,0.25,8.53,822.1
Barishal,Amtali,2022-03-01,68.91,184.83,8.85,19.32,24.65,15.95,1.37,15.18,53.05,1.46,6.56,0.57,158,Unhealthy,7.4,51.8,0.164,2.26,8.37,817.6
Barishal,Amtali,2022-04-01,57.54,78.34,9.41,11.45,26.7,10.9,1.09,1.53,57.0,2.05,4.68,0.4,152,Unhealthy,9.2,56.6,0.133,2.42,8.3,825.4
Barishal,Amtali,2022-05-01,39.53,85.25,14.86,15.31,25.93,9.07,0.94,5.45,21.53,1.15,3.08,0.42,111,Unhealthy for Sensitive Groups,13.6,76.5,0.142,1.99,8.55,820.9
Barishal,Amtali,2022-06-01,30.19,39.79,11.11,17.92,23.6,2.33,0.41,6.5,29.22,1.21,1.57,1.15,89,Moderate,6.9,94.0,0.099,1.93,8.38,822.1
Barishal,Amtali,2022-07-01,22.15,46.11,9.46,13.24,5.93,3.95,0.69,4.02,23.82,0.68,1.92,0.33,72,Moderate,15.0,87.8,0.082,0.93,8.58,821.2
Barishal,Amtali,2022-08-01,11.8,22.91,2.32,13.38,8.51,5.92,0.2,5.78,16.03,1.0,2.22,0.8,49,Good,6.5,87.7,0.112,3.19,8.51,822.7
Barishal,Amtali,2022-09-01,29.61,50.63,9.61,8.86,29.17,2.11,0.26,2.48,23.53,0.44,1.61,1.01,88,Moderate,9.1,88.7,0.056,1.64,8.62,825.3
Barishal,Amtali,2022-10-01,40.09,37.89,11.82,10.66,27.43,3.35,0.3,4.98,28.48,1.17,5.21,0.8,112,Unhealthy for Sensitive Groups,8.1,86.3,0.097,0.73,8.56,821.4
Barishal,Amtali,2022-11-01,32.29,75.52,16.82,35.37,49.72,8.64,1.15,13.34,79.66,2.4,3.27,2.14,93,Moderate,3.4,64.1,0.097,1.54,8.32,820.9
Barishal,Amtali,2022-12-01,53.66,184.43,13.68,22.45,20.39,19.72,2.15,16.28,88.02,3.24,4.02,2.12,146,Unhealthy for Sensitive Groups,4.0,76.4,0.137,2.21,8.36,823.1
Barishal,Amtali,2023-01-01,82.69,128.71,26.16,45.83,45.03,8.21,2.18,18.58,54.65,3.03,2.77,2.41,165,Unhealthy,7.2,71.0,0.128,3.79,8.58,832.9
Barishal,Amtali,2023-02-01,62.8,129.93,28.99,15.88,47.64,8.4,2.11,8.81,36.39,3.08,6.13,2.46,155,Unhealthy,6.1,63.2,0.107,1.78,8.79,826.5
Barishal,Amtali,2023-03-01,81.57,90.46,9.5,18.48,12.55,16.56,0.44,10.72,45.66,2.56,2.46,1.61,164,Unhealthy,5.1,58.2,0.123,3.49,8.73,830.5
Barishal,Amtali,2023-04-01,47.5,36.73,21.0,17.63,10.62,7.43,1.22,4.4,36.38,1.67,3.91,1.72,131,Unhealthy for Sensitive Groups,8.5,67.1,0.104,3.62,8.77,828.4
Barishal,Amtali,2023-05-01,22.64,42.3,7.43,22.12,27.81,2.84,0.97,2.8,46.13,0.74,0.75,1.35,73,Moderate,13.0,72.8,0.099,1.82,8.67,827.8
Barishal,Amtali,2023-06-01,32.75,56.99,8.8,16.86,11.67,2.72,0.59,7.04,36.75,0.32,3.4,0.42,94,Moderate,10.0,81.6,0.127,2.83,8.57,828.3
Barishal,Amtali,2023-07-01,5.0,53.48,7.83,16.39,11.47,4.26,0.61,6.4,28.52,0.32,2.44,0.36,21,Good,18.0,93.2,0.095,2.48,8.77,833.2
Barishal,Amtali,2023-08-01,13.68,46.55,9.53,12.86,19.31,7.93,0.24,0.95,18.86,0.09,2.36,1.05,54,Moderate,7.8,83.4,0.061,1.41,8.76,831.7
Barishal,Amtali,2023-09-01,25.74,28.17,11.7,14.49,6.98,3.5,0.52,2.52,32.6,0.6,3.56,0.07,80,Moderate,11.3,94.4,0.135,2.56,8.81,831.7
Barishal,Amtali,2023-10-01,36.45,76.56,15.02,20.5,30.5,10.07,1.21,10.4,47.89,0.35,0.77,1.12,103,Unhealthy for Sensitive Groups,4.7,72.9,0.11,3.33,8.83,828.3
Barishal,Amtali,2023-11-01,52.78,58.99,18.05,18.79,34.61,6.06,1.98,14.18,69.74,2.56,2.43,1.62,144,Unhealthy for Sensitive Groups,2.8,60.4,0.118,1.51,8.76,831.0
Barishal,Amtali,2023-12-01,72.02,198.06,28.33,39.72,50.48,9.61,1.28,20.97,91.26,0.81,6.57,1.66,160,Unhealthy,2.2,58.8,0.083,3.88,8.75,833.6
Barishal,Amtali,2024-01-01,99.67,87.25,19.09,17.74,55.25,12.0,2.45,8.92,61.5,1.05,5.05,1.24,174,Unhealthy,4.0,59.5,0.098,0.42,8.95,837.5
Barishal,Amtali,2024-02-01,46.09,148.26,27.49,46.1,32.18,13.57,1.57,14.72,86.25,1.98,3.3,1.36,127,Unhealthy for Sensitive Groups,6.4,65.4,0.14,2.54,9.0,835.8
Barishal,Amtali,2024-03-01,48.16,158.22,8.74,41.19,38.83,9.39,1.45,11.31,80.31,0.49,2.87,1.88,132,Unhealthy for Sensitive Groups,5.3,60.9,0.077,1.54,9.02,843.4
Barishal,Amtali,2024-04-01,48.69,129.83,13.9,29.12,15.83,7.87,0.77,15.47,48.88,1.82,4.64,1.61,133,Unhealthy for Sensitive Groups,11.6,70.7,0.057,-0.08,8.95,838.2
Barishal,Amtali,2024-05-01,45.67,62.43,6.29,24.57,28.75,4.78,1.04,10.95,23.68,1.64,2.75,0.93,126,Unhealthy for Sensitive Groups,8.0,77.1,0.065,0.71,8.96,838.1
Barishal,Amtali,2024-06-01,8.55,67.08,13.27,13.47,12.75,5.8,0.66,3.18,37.95,0.95,2.65,0.66,36,Good,12.0,90.2,0.047,1.71,8.97,837.3
Barishal,Amtali,2024-07-01,32.34,29.59,9.57,10.95,15.45,5.85,0.73,7.13,33.81,1.06,2.6,0.44,94,Moderate,6.0,91.0,0.06,3.34,8.83,841.5
Barishal,Amtali,2024-08-01,23.04,60.56,6.27,5.6,12.0,5.68,0.56,7.62,12.58,1.17,1.33,0.87,74,Moderate,6.1,89.3,0.092,1.67,9.1,840.1
Barishal,Amtali,2024-09-01,31.58,32.85,7.01,16.44,12.99,2.98,0.68,9.29,17.81,1.01,2.32,0.75,92,Moderate,6.2,94.4,0.103,1.58,9.01,837.4
Barishal,Amtali,2024-10-01,29.94,70.01,4.6,27.86,16.17,5.0,0.35,6.14,31.2,0.91,1.08,1.55,89,Moderate,6.5,84.5,0.107,1.88,8.79,840.3
Barishal,Amtali,2024-11-01,43.75,119.99,23.68,25.76,27.23,12.84,0.77,5.14,51.13,0.81,6.19,1.26,121,Unhealthy for Sensitive Groups,3.5,74.7,0.069,1.12,9.16,837.2
Barishal,Amtali,2024-12-01,57.04,156.94,26.22,42.68,50.51,18.04,2.27,9.6,36.61,2.99,6.56,2.48,152,Unhealthy,4.5,62.6,0.103,0.17,8.95,838.4
Barishal,Amtali,2025-01-01,86.78,130.86,19.3,36.74,69.39,11.59,1.34,6.01,53.9,0.54,7.55,1.19,167,Unhealthy,6.1,55.1,0.086,4.29,9.52,848.5
Barishal,Amtali,2025-02-01,62.4,200.34,30.24,23.05,51.32,13.38,1.85,6.11,56.93,2.12,4.94,0.48,155,Unhealthy,4.1,72.5,0.125,1.94,9.23,850.0
Barishal,Amtali,2025-03-01,36.94,118.09,26.18,19.61,17.07,6.85,1.51,4.78,82.41,0.82,7.47,0.94,105,Unhealthy for Sensitive Groups,5.7,52.4,0.109,3.35,9.45,853.3
